"GE","CST","TNP","TWP","IAP","ARR","MS","LS","AS","FMI","FS","FQ","MQ","FO","MO","NF","SH","SS","ME","TT","ATD","ESP"
"M","G",0.44,0.59,0.5,"Y","Unmarried","V","Free",3145,5,"Il","Il","Farmer","Housewife",7,1,"Govt","Asm",0.5,0.77,"Fail"
"M","SC",0.58,0.41,0.52,"N","Unmarried","V","Paid",3483,3,"Um","10","Business","Housewife",1,1.5,"Govt","Asm",0.75,0.77,"Pass"
"M","MOBC",0.56,0.56,0.57,"Y","Unmarried","V","Paid",11368,11,"12","Um","Service","Housewife",20,5,"Govt","Asm",1.75,0.11,"Pass"
"F","G",0.5,0.5,0.46,"Y","Unmarried","V","Paid",6337,3,"Um","Il","Business","Housewife",2,2.5,"Govt","Eng",0,0.6,"Fail"
"M","OBC",0.36,0.39,0.48,"Y","Unmarried","V","Free",2987,5,"Um","Il","Farmer","Housewife",16,1,"Govt","Eng",0.75,0.77,"Fail"
"F","OBC",0.55,0.56,0.58,"Y","Unmarried","V","Free",8842,6,"10","10","Farmer","Housewife",2,3.5,"Govt","Asm",0.75,0.66,"Fail"
"M","OBC",0.96,0.6,0.6,"Y","Unmarried","V","Paid",10732,5,"12","Um","Business","Housewife",16,1,"Govt","Eng",1,0.61,"Pass"
"F","OBC",0.54,0.45,0.54,"Y","Unmarried","T","Paid",19472,4,"Um","Um","Service","Housewife",10,0.5,"Govt","Eng",0.25,0.28,"Fail"
"M","OBC",0.58,0.57,0.59,"Y","Unmarried","V","Free",9020,2,"Um","Um","Farmer","Housewife",13,2.5,"Govt","Asm",0.5,0.81,"Pass"
"F","ST",0.58,0.58,0.46,"Y","Unmarried","T","Paid",19928,4,"Degree","Il","Service","Housewife",1,1,"Govt","Eng",0.25,0.21,"Pass"
"M","ST",0.57,0.32,0.57,"Y","Unmarried","V","Free",14661,3,"10","10","Farmer","Housewife",4,4,"Private","Asm",2,0.71,"Pass"
"M","G",0.59,0.49,0.46,"N","Unmarried","V","Paid",3005,9,"Um","Um","Farmer","Housewife",9,3,"Private","Eng",0.25,0.79,"Pass"
"F","G",0.34,0.48,0.79,"N","Unmarried","V","Free",3278,10,"Um","Il","Farmer","Housewife",8,2,"Govt","Eng",1,0.8,"Pass"
"F","G",0.6,0.78,0.92,"N","Unmarried","T","Paid",6770,5,"12","10","Service","Housewife",8,5,"Govt","Eng",0.25,0.81,"Pass"
"F","MOBC",0.57,0.47,0.45,"Y","Unmarried","V","Free",3124,10,"Il","Il","Farmer","Housewife",18,0,"Govt","Asm",0.5,0.9,"Fail"
"F","MOBC",0.55,0.68,0.67,"N","Unmarried","V","Free",6191,6,"10","10","Farmer","Housewife",19,3,"Govt","Eng",0,0.75,"Pass"
"F","ST",0.66,0.48,0.55,"Y","Unmarried","V","Paid",5402,2,"10","10","Others","Housewife",20,3.5,"Govt","Asm",0.5,0.87,"Pass"
"M","G",0.5,0.79,0.47,"N","Unmarried","V","Free",3128,3,"Um","Um","Farmer","Housewife",15,3,"Govt","Asm",1.5,0.88,"Pass"
"F","ST",0.5,0.52,0.65,"Y","Unmarried","V","Paid",5981,3,"Um","Il","Service","Housewife",2,1,"Govt","Eng",0.25,0.62,"Pass"
"F","SC",0.44,0.46,0.74,"N","Unmarried","V","Free",10035,1,"10","Um","Business","Service",9,2,"Govt","Asm",0,0.13,"Pass"
"M","ST",0.58,0.52,0.72,"Y","Unmarried","V","Paid",9361,8,"10","12","Farmer","Housewife",20,3.5,"Govt","Eng",0.25,0.81,"Pass"
"M","G",0.52,0.58,0.49,"Y","Unmarried","V","Free",24096,10,"Um","Il","Farmer","Housewife",6,3,"Govt","Eng",0,0.15,"Fail"
"M","MOBC",0.3,0.51,0.77,"Y","Unmarried","V","Free",5589,4,"Um","Il","Business","Housewife",4,6,"Govt","Asm",0.5,0.91,"Pass"
"F","G",0.59,0.59,0.48,"Y","Unmarried","V","Paid",15428,5,"10","10","Business","Housewife",5,3,"Govt","Eng",0.25,0.8,"Fail"
"M","OBC",0.56,0.55,0.72,"Y","Unmarried","V","Free",3042,1,"Um","Um","Farmer","Housewife",14,4,"Govt","Asm",0.5,0.91,"Pass"
"M","ST",0.69,0.79,0.6,"Y","Unmarried","V","Paid",8248,1,"Degree","12","Farmer","Housewife",14,0,"Govt","Eng",1,0.98,"Pass"
"F","G",0.53,0.38,0.58,"N","Married","T","Paid",10527,9,"Um","Um","Others","Housewife",2,3.5,"Govt","Asm",1.25,0.91,"Fail"
"M","ST",0.32,0.55,0.58,"Y","Unmarried","V","Paid",14972,8,"Il","Il","Farmer","Housewife",3,3.5,"Govt","Asm",0.75,0.73,"Fail"
"M","OBC",0.5,0.5,0.42,"N","Unmarried","V","Paid",6777,2,"Il","Il","Others","Housewife",18,6,"Govt","Asm",0.5,0.83,"Pass"
"F","ST",0.59,0.51,0.59,"N","Unmarried","V","Free",14662,1,"Um","Um","Others","Housewife",11,2.5,"Private","Asm",0.5,0.68,"Pass"
"F","SC",0.61,0.95,0.77,"N","Unmarried","V","Free",4442,1,"Um","Um","Others","Housewife",1,2.5,"Govt","Asm",1,0.7,"Pass"
"M","OBC",0.41,0.31,0.47,"N","Unmarried","V","Free",9456,5,"Um","Um","Service","Housewife",6,2.5,"Govt","Asm",0.25,0.66,"Fail"
